sub_id,date_time,session,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,proportion_feedback,attention_check_mean_accuracy
s831201,07/18/2026,1,0.9833333333333333,0.016666666666666666,502.7457627118644,0.9166666666666666,0.03333333333333333,553.3636363636364,0.0,1.0
s831202,07/18/2026,1,0.9833333333333333,0.0,494.5762711864407,0.8833333333333333,0.03333333333333333,546.8679245283018,0.0,1.0
s831203,07/18/2026,1,0.9333333333333333,0.03333333333333333,523.5535714285714,0.9333333333333333,0.0,559.9464285714286,0.0,1.0
s831204,07/18/2026,1,0.9833333333333333,0.0,564.2542372881356,0.9333333333333333,0.016666666666666666,637.6607142857143,0.0,1.0
s831205,07/18/2026,1,0.9666666666666667,0.0,573.1896551724138,0.8666666666666667,0.03333333333333333,633.7115384615385,0.0,1.0
s831206,07/19/2026,1,0.95,0.03333333333333333,586.280701754386,0.9833333333333333,0.0,656.0338983050848,0.0,1.0
s831207,07/19/2026,1,0.9166666666666666,0.016666666666666666,544.3272727272728,0.9333333333333333,0.0,591.6607142857143,0.0,1.0
s831208,07/19/2026,1,0.9333333333333333,0.06666666666666667,571.125,0.9,0.03333333333333333,645.3518518518518,0.0,1.0
s831209,07/19/2026,1,0.95,0.016666666666666666,501.3859649122807,0.95,0.03333333333333333,578.1578947368421,0.0,1.0
s831210,07/19/2026,1,0.95,0.016666666666666666,558.1578947368421,0.9,0.05,625.4629629629629,0.0,1.0
s831211,07/19/2026,1,0.9833333333333333,0.016666666666666666,492.45762711864404,0.9166666666666666,0.03333333333333333,533.6,0.0,1.0
s831212,07/19/2026,1,0.9166666666666666,0.06666666666666667,566.0363636363636,0.8166666666666667,0.016666666666666666,610.9795918367347,0.0,1.0
s831213,07/19/2026,1,0.9666666666666667,0.016666666666666666,539.6551724137931,0.9833333333333333,0.0,594.7118644067797,0.0,1.0
s831214,07/19/2026,1,1.0,0.0,501.4,0.95,0.0,589.4035087719299,0.0,1.0
s831215,07/19/2026,1,0.9666666666666667,0.0,632.3965517241379,0.8666666666666667,0.03333333333333333,695.0192307692307,0.0,1.0
s831216,07/19/2026,1,0.95,0.016666666666666666,551.1929824561404,0.9166666666666666,0.03333333333333333,568.9454545454546,0.0,1.0
s831217,07/19/2026,1,0.9666666666666667,0.0,699.9655172413793,0.9,0.03333333333333333,764.7777777777778,0.5,1.0
s831218,07/19/2026,1,0.9833333333333333,0.016666666666666666,604.6271186440678,0.9333333333333333,0.0,620.5178571428571,0.0,1.0
s831219,07/19/2026,1,0.9833333333333333,0.0,555.9830508474577,0.8666666666666667,0.03333333333333333,589.3846153846154,0.0,1.0
s831220,07/19/2026,1,0.9833333333333333,0.016666666666666666,432.03389830508473,0.9333333333333333,0.03333333333333333,470.51785714285717,0.0,1.0
