"block_i","trial_i","stim","signal","SSD","response","rt","correct","focus","Fullscreen","time_elapsed","window_resolution"
"0","1","left","no","200","leftarrow","951","true","focus","yes","29005","1280 x 800"
"0","2","right","no","200","rightarrow","776","true","focus","yes","31286","1280 x 800"
"0","3","left","no","200","rightarrow","564","false","focus","yes","33354","1280 x 800"
"0","4","right","no","200","rightarrow","1201","true","focus","yes","36059","1280 x 800"
"0","5","left","yes","200","undefined","NaN","true","focus","yes","38816","1280 x 800"
"0","6","right","no","250","rightarrow","576","true","focus","yes","40896","1280 x 800"
"0","7","right","yes","250","undefined","NaN","true","focus","yes","43653","1280 x 800"
"0","8","left","no","300","leftarrow","624","true","focus","yes","45781","1280 x 800"
"0","9","left","no","300","rightarrow","921","false","focus","yes","48207","1280 x 800"
"0","10","right","no","300","rightarrow","618","true","focus","yes","50331","1280 x 800"
"0","11","left","no","300","leftarrow","952","true","focus","yes","52787","1280 x 800"
"0","12","right","no","300","rightarrow","788","true","focus","yes","55081","1280 x 800"
"0","13","left","no","300","leftarrow","530","true","focus","yes","57113","1280 x 800"
"0","14","left","yes","300","undefined","NaN","true","focus","yes","59866","1280 x 800"
"0","15","right","yes","350","undefined","NaN","true","focus","yes","62624","1280 x 800"
"0","16","right","no","400","rightarrow","604","true","focus","yes","64731","1280 x 800"
"0","17","left","no","400","leftarrow","836","true","focus","yes","67071","1280 x 800"
"0","18","left","no","400","leftarrow","816","true","focus","yes","69391","1280 x 800"
"0","19","right","no","400","leftarrow","918","false","focus","yes","71813","1280 x 800"
"0","20","left","yes","400","leftarrow","480","false","focus","yes","73799","1280 x 800"
"0","21","right","no","350","rightarrow","920","true","focus","yes","76222","1280 x 800"
"0","22","right","yes","350","undefined","NaN","true","focus","yes","78978","1280 x 800"
"0","23","left","no","400","leftarrow","500","true","focus","yes","80983","1280 x 800"
"0","24","right","no","400","rightarrow","291","true","focus","yes","82777","1280 x 800"
"0","25","left","no","400","leftarrow","1099","true","focus","yes","85380","1280 x 800"
"0","26","right","no","400","rightarrow","819","true","focus","yes","87704","1280 x 800"
"0","27","left","no","400","leftarrow","491","true","focus","yes","89700","1280 x 800"
"0","28","left","yes","400","undefined","NaN","true","focus","yes","92455","1280 x 800"
"0","29","right","yes","450","undefined","NaN","true","focus","yes","95213","1280 x 800"
"0","30","right","no","500","rightarrow","610","true","focus","yes","97327","1280 x 800"
"0","31","left","no","500","leftarrow","677","true","focus","yes","99509","1280 x 800"
"0","32","right","no","500","rightarrow","620","true","focus","yes","101633","1280 x 800"
"1","1","left","no","500","leftarrow","635","true","focus","yes","108308","1280 x 800"
"1","2","right","no","500","rightarrow","413","true","focus","yes","109474","1280 x 800"
"1","3","left","no","500","leftarrow","952","true","focus","yes","111178","1280 x 800"
"1","4","right","yes","500","rightarrow","712","false","focus","yes","112642","1280 x 800"
"1","5","left","yes","450","undefined","NaN","true","focus","yes","114647","1280 x 800"
"1","6","right","no","500","rightarrow","441","true","focus","yes","115842","1280 x 800"
"1","7","right","no","500","leftarrow","686","false","focus","yes","117281","1280 x 800"
"1","8","left","no","500","leftarrow","1125","true","focus","yes","119159","1280 x 800"
"1","9","left","no","500","leftarrow","597","true","focus","yes","120508","1280 x 800"
"1","10","right","no","500","rightarrow","622","true","focus","yes","121881","1280 x 800"
"1","11","left","no","500","leftarrow","447","true","focus","yes","123081","1280 x 800"
"1","12","left","no","500","leftarrow","451","true","focus","yes","124284","1280 x 800"
"1","13","right","no","500","rightarrow","438","true","focus","yes","125475","1280 x 800"
"1","14","left","yes","500","leftarrow","600","false","focus","yes","126828","1280 x 800"
"1","15","right","yes","450","rightarrow","560","false","focus","yes","128140","1280 x 800"
"1","16","right","no","400","rightarrow","890","true","focus","yes","129784","1280 x 800"
"1","17","right","no","400","undefined","NaN","false","focus","yes","131786","1280 x 800"
"1","18","left","no","400","leftarrow","559","true","focus","yes","133099","1280 x 800"
"1","19","right","no","400","rightarrow","499","true","focus","yes","134351","1280 x 800"
"1","20","left","no","400","leftarrow","657","true","focus","yes","135763","1280 x 800"
"1","21","right","yes","400","rightarrow","482","false","focus","yes","136996","1280 x 800"
"1","22","left","no","350","leftarrow","508","true","focus","yes","138256","1280 x 800"
"1","23","right","no","350","rightarrow","625","true","focus","yes","139632","1280 x 800"
"1","24","left","yes","350","leftarrow","357","false","focus","yes","140743","1280 x 800"
"1","25","left","no","300","leftarrow","688","true","focus","yes","142183","1280 x 800"
"1","26","left","no","300","leftarrow","862","true","focus","yes","143796","1280 x 800"
"1","27","right","no","300","rightarrow","630","true","focus","yes","145177","1280 x 800"
"1","28","right","yes","300","undefined","NaN","true","focus","yes","147180","1280 x 800"
"1","29","right","no","350","rightarrow","576","true","focus","yes","148511","1280 x 800"
"1","30","left","no","350","leftarrow","704","true","focus","yes","149967","1280 x 800"
"1","31","right","no","350","rightarrow","555","true","focus","yes","151275","1280 x 800"
"1","32","left","yes","350","undefined","NaN","true","focus","yes","153279","1280 x 800"
"1","33","right","no","400","rightarrow","657","true","focus","yes","154689","1280 x 800"
"1","34","left","yes","400","rightarrow","390","false","focus","yes","155831","1280 x 800"
"1","35","left","no","350","rightarrow","1085","false","focus","yes","157669","1280 x 800"
"1","36","right","no","350","rightarrow","523","true","focus","yes","158945","1280 x 800"
"1","37","left","no","350","rightarrow","473","false","focus","yes","160171","1280 x 800"
"1","38","right","no","350","rightarrow","661","true","focus","yes","161584","1280 x 800"
"1","39","left","no","350","leftarrow","650","true","focus","yes","162989","1280 x 800"
"1","40","right","yes","350","undefined","NaN","true","focus","yes","164993","1280 x 800"
"1","41","left","no","400","leftarrow","409","true","focus","yes","166155","1280 x 800"
"1","42","right","no","400","rightarrow","385","true","focus","yes","167294","1280 x 800"
"1","43","right","yes","400","rightarrow","563","false","focus","yes","168610","1280 x 800"
"1","44","left","no","350","leftarrow","895","true","focus","yes","170258","1280 x 800"
"1","45","right","no","350","rightarrow","588","true","focus","yes","171598","1280 x 800"
"1","46","left","yes","350","leftarrow","540","false","focus","yes","172890","1280 x 800"
"1","47","right","no","300","rightarrow","1035","true","focus","yes","174677","1280 x 800"
"1","48","left","no","300","leftarrow","781","true","focus","yes","176211","1280 x 800"
"1","49","left","no","300","leftarrow","857","true","focus","yes","177820","1280 x 800"
