"success","trial_type","trial_index","time_elapsed","internal_node_id","group_index","rt","stimulus","response","trial_id","trial_duration","view_history","page_index","exp_stage","block_num","stimulus_duration","choices","spatial_cue","condition","correct_response","whichQuadrant","shape","form","color","current_trial","current_block","correct_trial","ITIParams","attention_check_question","timing_post_trial","exp_id"
"true","fullscreen","0","5036","0.0-0.0","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","19227","0.0-1.0-0.0","","14188","<div class=""centerbox""><p class=""center-block-text"">
  <p class=""center-block-text"">
    Welcome! This experiment will take around 11 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>
</p></div>","enter","instruction_feedback","30000","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","31807","0.0-1.0-1.0","","12580","<div class = centerbox>
    <p class=""block-text"">Place your <b>index finger</b> on the <b>comma key (,)</b> and your <b>middle finger</b> on the <b>period key (.)</b></p>
    <p class = block-text>During this task, on each trial you will see a single shape in one of the four quadrants of the screen.
    Based upon which quadrant the shape is presented, you will complete a different task for that shape.
    </p>
    <p class = block-text>In the top two quadrants, please judge the shape based on its <b>form</b>. Press your <b>index finger</b> if it's a
    <b>circle</b> and your <b>middle finger</b> if it's a
    <b>square</b>. 
    </p>
     <p class = block-text>In the bottom two quadrants, please judge the shape based on its <b>color</b>. Press your <b>index finger</b> if it's
    <b><span style='color:#87CEEB'>blue</span></b> and your <b>middle finger</b> if it's
    <b><span style='color:#FFD700'>orange</span></b>. 
    </p>
  </div>","","instructions","","[{""page_index"":0,""viewing_time"":12579}]","0","","","","","","","","","","","","","","","","","",""
"","instructions","3","39549","0.0-1.0-2.0","","7742","<div class = centerbox>
    <p class = block-text>We'll start with a practice round. During practice, you will receive feedback and a reminder of the rules. These will be taken out for the test, so make sure you understand the instructions before moving on.</p>
    <p class = block-text>Try to respond as quickly and accurately as possible.</p>
  </div>","","instructions","","[{""page_index"":0,""viewing_time"":7742}]","1","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","41577","0.0-2.0-0.0","","2027","<div class=""bigbox""><div class=""picture_box""><p class=""block-text""><div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div></p></div></div>","enter","practice_feedback","30000","","","practice","0","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","42080","0.0-2.0-1.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","42233","0.0-2.0-2.0","","null","<div class = bigbox><div class = quad_box><div class = decision-bottom-right></div></div></div>","null","practice_cue","150","","","practice","0","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","43738","0.0-2.0-3.0","","1028","<div class = bigbox><div class = quad_box><div class = decision-bottom-right><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/orange_square.png'></img></div></div></div></div></div>",".","practice_trial","1500","","","practice","0","1000","["","","".""]","color","na",".","3","orange_square","square","orange","1","0","1","","","",""
"","html-keyboard-response","8","44242","0.0-2.0-4.0","","null","<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","44267","0.0-2.0-5.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","23.501387342451867","","","practice","0","23.501387342451867","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
