"block_i","trial_i","stim","signal","SSD","response","rt","correct","focus","Fullscreen","time_elapsed","window_resolution"
"0","1","right","no","200","rightarrow","580","true","focus","yes","26777","1280 x 800"
"0","2","left","no","200","leftarrow","571","true","focus","yes","28855","1280 x 800"
"0","3","right","no","200","rightarrow","515","true","focus","yes","30875","1280 x 800"
"0","4","left","yes","200","undefined","NaN","true","focus","yes","33632","1280 x 800"
"0","5","right","no","250","rightarrow","570","true","focus","yes","35707","1280 x 800"
"0","6","right","yes","250","rightarrow","462","false","focus","yes","37673","1280 x 800"
"0","7","left","no","200","leftarrow","561","true","focus","yes","39739","1280 x 800"
"0","8","left","no","200","rightarrow","446","false","focus","yes","41690","1280 x 800"
"0","9","right","no","200","rightarrow","561","true","focus","yes","43757","1280 x 800"
"0","10","left","no","200","leftarrow","402","true","focus","yes","45663","1280 x 800"
"0","11","left","yes","200","leftarrow","430","false","focus","yes","47597","1280 x 800"
"0","12","left","no","150","leftarrow","450","true","focus","yes","49552","1280 x 800"
"0","13","right","no","150","rightarrow","499","true","focus","yes","51556","1280 x 800"
"0","14","right","yes","150","undefined","NaN","true","focus","yes","54311","1280 x 800"
"0","15","right","no","200","rightarrow","492","true","focus","yes","56306","1280 x 800"
"0","16","left","no","200","leftarrow","526","true","focus","yes","58337","1280 x 800"
"0","17","left","yes","200","undefined","NaN","true","focus","yes","61091","1280 x 800"
"0","18","left","no","250","leftarrow","549","true","focus","yes","63144","1280 x 800"
"0","19","right","no","250","rightarrow","461","true","focus","yes","65109","1280 x 800"
"0","20","right","no","250","rightarrow","532","true","focus","yes","67146","1280 x 800"
"0","21","right","yes","250","rightarrow","409","false","focus","yes","69059","1280 x 800"
"0","22","left","no","200","leftarrow","586","true","focus","yes","71150","1280 x 800"
"0","23","right","no","200","rightarrow","494","true","focus","yes","73146","1280 x 800"
"0","24","left","no","200","leftarrow","526","true","focus","yes","75176","1280 x 800"
"0","25","right","no","200","rightarrow","492","true","focus","yes","77171","1280 x 800"
"0","26","left","no","200","leftarrow","567","true","focus","yes","79241","1280 x 800"
"0","27","left","no","200","leftarrow","372","true","focus","yes","81117","1280 x 800"
"0","28","right","no","200","rightarrow","434","true","focus","yes","83056","1280 x 800"
"0","29","right","yes","200","undefined","NaN","true","focus","yes","85811","1280 x 800"
"0","30","right","no","250","leftarrow","544","false","focus","yes","87860","1280 x 800"
"0","31","left","yes","250","undefined","NaN","true","focus","yes","90613","1280 x 800"
"0","32","left","no","300","leftarrow","478","true","focus","yes","92595","1280 x 800"
"1","1","left","no","300","leftarrow","487","true","focus","yes","99115","1280 x 800"
"1","2","right","no","300","rightarrow","790","true","focus","yes","100658","1280 x 800"
"1","3","right","yes","300","undefined","NaN","true","focus","yes","102663","1280 x 800"
"1","4","left","yes","350","undefined","NaN","true","focus","yes","104668","1280 x 800"
"1","5","right","no","400","rightarrow","515","true","focus","yes","105937","1280 x 800"
"1","6","right","no","400","rightarrow","515","true","focus","yes","107205","1280 x 800"
"1","7","left","no","400","leftarrow","567","true","focus","yes","108524","1280 x 800"
"1","8","left","no","400","leftarrow","620","true","focus","yes","109896","1280 x 800"
"1","9","right","no","400","rightarrow","510","true","focus","yes","111158","1280 x 800"
"1","10","left","no","400","leftarrow","711","true","focus","yes","112620","1280 x 800"
"1","11","right","no","400","leftarrow","563","false","focus","yes","113937","1280 x 800"
"1","12","left","no","400","leftarrow","629","true","focus","yes","115319","1280 x 800"
"1","13","left","yes","400","undefined","NaN","true","focus","yes","117322","1280 x 800"
"1","14","right","yes","450","undefined","NaN","true","focus","yes","119327","1280 x 800"
"1","15","right","no","500","rightarrow","639","true","focus","yes","120720","1280 x 800"
"1","16","left","no","500","leftarrow","537","true","focus","yes","122008","1280 x 800"
"1","17","right","no","500","rightarrow","397","true","focus","yes","123158","1280 x 800"
"1","18","left","no","500","leftarrow","491","true","focus","yes","124401","1280 x 800"
"1","19","left","no","500","leftarrow","420","true","focus","yes","125573","1280 x 800"
"1","20","right","no","500","rightarrow","500","true","focus","yes","126825","1280 x 800"
"1","21","left","no","500","leftarrow","603","true","focus","yes","128179","1280 x 800"
"1","22","right","yes","500","rightarrow","420","false","focus","yes","129351","1280 x 800"
"1","23","right","no","450","rightarrow","619","true","focus","yes","130723","1280 x 800"
"1","24","left","yes","450","undefined","NaN","true","focus","yes","132726","1280 x 800"
"1","25","left","yes","500","undefined","NaN","true","focus","yes","134733","1280 x 800"
"1","26","right","no","550","rightarrow","553","true","focus","yes","136040","1280 x 800"
"1","27","right","yes","550","rightarrow","556","false","focus","yes","137349","1280 x 800"
"1","28","left","no","500","leftarrow","499","true","focus","yes","138601","1280 x 800"
"1","29","right","no","500","rightarrow","501","true","focus","yes","139854","1280 x 800"
"1","30","left","no","500","leftarrow","513","true","focus","yes","141121","1280 x 800"
"1","31","right","no","500","rightarrow","492","true","focus","yes","142364","1280 x 800"
"1","32","left","no","500","leftarrow","481","true","focus","yes","143597","1280 x 800"
"1","33","right","no","500","leftarrow","509","false","focus","yes","144859","1280 x 800"
"1","34","left","no","500","leftarrow","491","true","focus","yes","146103","1280 x 800"
"1","35","right","no","500","rightarrow","625","true","focus","yes","147481","1280 x 800"
"1","36","left","yes","500","leftarrow","519","false","focus","yes","148752","1280 x 800"
"1","37","right","yes","450","undefined","NaN","true","focus","yes","150757","1280 x 800"
"1","38","left","no","500","leftarrow","578","true","focus","yes","152088","1280 x 800"
"1","39","right","no","500","rightarrow","391","true","focus","yes","153231","1280 x 800"
"1","40","left","no","500","leftarrow","507","true","focus","yes","154491","1280 x 800"
"1","41","right","no","500","rightarrow","503","true","focus","yes","155748","1280 x 800"
"1","42","left","no","500","leftarrow","849","true","focus","yes","157351","1280 x 800"
"1","43","right","no","500","rightarrow","628","true","focus","yes","158731","1280 x 800"
"1","44","right","yes","500","rightarrow","526","false","focus","yes","160009","1280 x 800"
"1","45","right","no","450","rightarrow","453","true","focus","yes","161214","1280 x 800"
"1","46","left","yes","450","leftarrow","477","false","focus","yes","162444","1280 x 800"
"1","47","left","no","400","leftarrow","574","true","focus","yes","163770","1280 x 800"
"1","48","left","no","400","leftarrow","465","true","focus","yes","164989","1280 x 800"
"1","49","left","no","400","leftarrow","527","true","focus","yes","166267","1280 x 800"
"1","50","right","no","400","rightarrow","532","true","focus","yes","167550","1280 x 800"
"1","51","left","no","400","leftarrow","526","true","focus","yes","256668","1280 x 800"
"1","52","left","yes","400","undefined","NaN","true","focus","yes","258672","1280 x 800"
"1","53","right","no","450","rightarrow","655","true","focus","yes","260080","1280 x 800"
"1","54","right","yes","450","undefined","NaN","true","focus","yes","262082","1280 x 800"
"1","55","left","no","500","leftarrow","402","true","focus","yes","263239","1280 x 800"
"1","56","right","no","500","rightarrow","523","true","focus","yes","264516","1280 x 800"
"1","57","right","no","500","rightarrow","461","true","focus","yes","265731","1280 x 800"
"1","58","left","yes","500","leftarrow","510","false","focus","yes","266994","1280 x 800"
"1","59","left","no","450","leftarrow","455","true","focus","yes","268201","1280 x 800"
"1","60","right","no","450","rightarrow","451","true","focus","yes","269404","1280 x 800"
"1","61","left","no","450","leftarrow","546","true","focus","yes","270702","1280 x 800"
"1","62","right","yes","450","undefined","NaN","true","focus","yes","272706","1280 x 800"
"1","63","right","no","500","rightarrow","516","true","focus","yes","273977","1280 x 800"
"1","64","left","no","500","leftarrow","514","true","focus","yes","275244","1280 x 800"
"2","1","right","no","500","rightarrow","446","true","focus","yes","281012","1280 x 800"
"2","2","left","no","500","leftarrow","510","true","focus","yes","282276","1280 x 800"
"2","3","left","no","500","leftarrow","625","true","focus","yes","283656","1280 x 800"
"2","4","right","yes","500","undefined","NaN","true","focus","yes","285662","1280 x 800"
"2","5","right","no","550","rightarrow","574","true","focus","yes","286989","1280 x 800"
"2","6","left","yes","550","leftarrow","367","false","focus","yes","288109","1280 x 800"
"2","7","right","no","500","rightarrow","480","true","focus","yes","289341","1280 x 800"
"2","8","left","no","500","leftarrow","553","true","focus","yes","290646","1280 x 800"
"2","9","right","no","500","rightarrow","516","true","focus","yes","291916","1280 x 800"
"2","10","left","no","500","leftarrow","610","true","focus","yes","293280","1280 x 800"
"2","11","left","no","500","leftarrow","556","true","focus","yes","294588","1280 x 800"
