"success","trial_type","trial_index","time_elapsed","internal_node_id","group_index","rt","stimulus","response","trial_id","trial_duration","view_history","page_index","exp_stage","block_num","stimulus_duration","choices","spatial_cue","condition","correct_response","whichQuadrant","shape","form","color","current_trial","current_block","correct_trial","ITIParams","attention_check_question","timing_post_trial","exp_id"
"true","fullscreen","0","6486","0.0-0.0","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","22061","0.0-1.0-0.0","","15572","<div class=""centerbox""><p class=""center-block-text"">
  <p class=""center-block-text"">
    Welcome! This experiment will take around 11 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>
</p></div>","enter","instruction_feedback","30000","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","35722","0.0-1.0-1.0","","13661","<div class = centerbox>
    <p class=""block-text"">Place your <b>index finger</b> on the <b>comma key (,)</b> and your <b>middle finger</b> on the <b>period key (.)</b></p>
    <p class = block-text>During this task, on each trial you will see a single shape in one of the four quadrants of the screen.
    Based upon which quadrant the shape is presented, you will complete a different task for that shape.
    </p>
    <p class = block-text>In the top two quadrants, please judge the shape based on its <b>form</b>. Press your <b>index finger</b> if it's a
    <b>circle</b> and your <b>middle finger</b> if it's a
    <b>square</b>. 
    </p>
     <p class = block-text>In the bottom two quadrants, please judge the shape based on its <b>color</b>. Press your <b>index finger</b> if it's
    <b><span style='color:#87CEEB'>blue</span></b> and your <b>middle finger</b> if it's
    <b><span style='color:#FFD700'>orange</span></b>. 
    </p>
  </div>","","instructions","","[{""page_index"":0,""viewing_time"":13661}]","0","","","","","","","","","","","","","","","","","",""
"","instructions","3","42599","0.0-1.0-2.0","","6876","<div class = centerbox>
    <p class = block-text>We'll start with a practice round. During practice, you will receive feedback and a reminder of the rules. These will be taken out for the test, so make sure you understand the instructions before moving on.</p>
    <p class = block-text>Try to respond as quickly and accurately as possible.</p>
  </div>","","instructions","","[{""page_index"":0,""viewing_time"":6876}]","1","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","44628","0.0-2.0-0.0","","2028","<div class=""bigbox""><div class=""picture_box""><p class=""block-text""><div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div></p></div></div>","enter","practice_feedback","30000","","","practice","0","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","45130","0.0-2.0-1.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","45283","0.0-2.0-2.0","","null","<div class = bigbox><div class = quad_box><div class = decision-bottom-right></div></div></div>","null","practice_cue","150","","","practice","0","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","46785","0.0-2.0-3.0","","null","<div class = bigbox><div class = quad_box><div class = decision-bottom-right><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/orange_square.png'></img></div></div></div></div></div>","null","practice_trial","1500","","","practice","0","1000","["","","".""]","color","na",".","3","orange_square","square","orange","1","0","0","","","",""
"","html-keyboard-response","8","47288","0.0-2.0-4.0","","null","<div class = fb_box><div class = center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","48532","0.0-2.0-5.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","1242.3971701079988","","","practice","0","1242.3971701079988","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
"","html-keyboard-response","10","49033","0.0-2.0-6.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","49184","0.0-2.0-7.0","","null","<div class = bigbox><div class = quad_box><div class = decision-bottom-left></div></div></div>","null","practice_cue","150","","","practice","0","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","50686","0.0-2.0-8.0","","951","<div class = bigbox><div class = quad_box><div class = decision-bottom-left><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/orange_circle.png'></img></div></div></div></div></div>",".","practice_trial","1500","","","practice","0","1000","["","","".""]","color","task_stay_cue_switch",".","4","orange_circle","circle","orange","2","0","1","","","",""
"","html-keyboard-response","13","51188","0.0-2.0-9.0","","null","<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","52215","0.0-2.0-10.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","1026.5047870045275","","","practice","0","1026.5047870045275","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
"","html-keyboard-response","15","52717","0.0-2.0-11.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","52868","0.0-2.0-12.0","","null","<div class = bigbox><div class = quad_box><div class = decision-top-left></div></div></div>","null","practice_cue","150","","","practice","0","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","54370","0.0-2.0-13.0","","989","<div class = bigbox><div class = quad_box><div class = decision-top-left><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/blue_circle.png'></img></div></div></div></div></div>",",","practice_trial","1500","","","practice","0","1000","["","","".""]","form","task_switch_cue_switch",",","1","blue_circle","circle","blue","3","0","1","","","",""
"","html-keyboard-response","18","54873","0.0-2.0-14.0","","null","<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","55378","0.0-2.0-15.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","503.470705321759","","","practice","0","503.470705321759","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
"","html-keyboard-response","20","55879","0.0-2.0-16.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","56031","0.0-2.0-17.0","","null","<div class = bigbox><div class = quad_box><div class = decision-bottom-left></div></div></div>","null","practice_cue","150","","","practice","0","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","57534","0.0-2.0-18.0","","895","<div class = bigbox><div class = quad_box><div class = decision-bottom-left><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/blue_square.png'></img></div></div></div></div></div>",",","practice_trial","1500","","","practice","0","1000","["","","".""]","color","task_switch_cue_switch",",","4","blue_square","square","blue","4","0","1","","","",""
"","html-keyboard-response","23","58036","0.0-2.0-19.0","","null","<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","58298","0.0-2.0-20.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","259.85699447451026","","","practice","0","259.85699447451026","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
"","html-keyboard-response","25","58799","0.0-2.0-21.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","58950","0.0-2.0-22.0","","null","<div class = bigbox><div class = quad_box><div class = decision-bottom-left></div></div></div>","null","practice_cue","150","","","practice","0","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","60452","0.0-2.0-23.0","","882","<div class = bigbox><div class = quad_box><div class = decision-bottom-left><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/blue_square.png'></img></div></div></div></div></div>",",","practice_trial","1500","","","practice","0","1000","["","","".""]","color","task_stay_cue_stay",",","4","blue_square","square","blue","5","0","1","","","",""
"","html-keyboard-response","28","60954","0.0-2.0-24.0","","null","<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","61082","0.0-2.0-25.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","127.76629877111905","","","practice","0","127.76629877111905","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
"","html-keyboard-response","30","63103","0.0-3.0-0.0","","2020","<div class=""bigbox""><div class=""picture_box""><p class=""block-text"">
      <div class=""centerbox"">
        <p class=""block-text"">We will now start the test portion.</p>
        <p class=""block-text"">Keep your <b>index finger</b> on the <b>comma key (,)</b> and your <b>middle finger</b> on the <b>period key (.)</b></p>
        <p class=""block-text"">Press <i>enter</i> to continue.</p>
      </div>
      </p></div></div>","enter","test_feedback","30000","","","test","0","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","65126","0.0-3.0-1.0-0.0","","2022","","enter","test_attention_check","15000","","","test","0","","","","","i","","","","","","","0","","<p class='block-text'>Press the i key</p> <div class=block-text>This screen will advance automatically in 15 seconds. Do not press shift.</div>","1000",""
"","html-keyboard-response","32","65627","0.0-3.0-2.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","test_fixation","500","","","test","1","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","65779","0.0-3.0-3.0","","null","<div class = bigbox><div class = quad_box><div class = decision-top-right></div></div></div>","null","test_cue","150","","","test","1","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","67281","0.0-3.0-4.0","","817","<div class = bigbox><div class = quad_box><div class = decision-top-right><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/orange_square.png'></img></div></div></div></div></div>",",","test_trial","1500","","","test","0","1000","["","","".""]","form","na",".","2","orange_square","square","orange","1","0","0","","","",""
"","html-keyboard-response","35","67381","0.0-3.0-5.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","test_ITI","99.97474400860521","","","test","0","99.97474400860521","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
"","html-keyboard-response","36","67883","0.0-3.0-6.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","test_fixation","500","","","test","1","500","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","68034","0.0-3.0-7.0","","null","<div class = bigbox><div class = quad_box><div class = decision-bottom-right></div></div></div>","null","test_cue","150","","","test","1","150","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","69535","0.0-3.0-8.0","","1021","<div class = bigbox><div class = quad_box><div class = decision-bottom-right><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/spatial_task_switching_rdoc/images/orange_square.png'></img></div></div></div></div></div>",".","test_trial","1500","","","test","0","1000","["","","".""]","color","task_switch_cue_switch",".","3","orange_square","square","orange","2","0","1","","","",""
"","html-keyboard-response","39","69552","0.0-3.0-9.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","test_ITI","15.880255565917025","","","test","0","15.880255565917025","","","","","","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","","",""
