"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response","text","colour"
"[{""page_index"":0,""viewing_time"":4907},{""page_index"":1,""viewing_time"":7849},{""page_index"":2,""viewing_time"":7660},{""page_index"":3,""viewing_time"":3444}]","23859","instructions","0","23860","0.0-0.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","","","",""
"","null","html-keyboard-response","1","24112","0.0-1.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","","null","",""
"","null","html-keyboard-response","2","24613","0.0-2.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","<p style=""font-size:60px"">+</p>","null","",""
"","609","html-keyboard-response","3","25222","0.0-3.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","<p style=""font-size:60px;color: green"">green</p>","g","green","green"
"","null","html-keyboard-response","4","25473","0.0-4.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","","null","",""
"","null","html-keyboard-response","5","25974","0.0-5.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","<p style=""font-size:60px"">+</p>","null","",""
"","562","html-keyboard-response","6","26536","0.0-6.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","<p style=""font-size:60px;color: green"">green</p>","g","green","green"
"","null","html-keyboard-response","7","26787","0.0-7.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","","null","",""
"","null","html-keyboard-response","8","27289","0.0-8.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","<p style=""font-size:60px"">+</p>","null","",""
"","7553","html-keyboard-response","9","34843","0.0-9.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","<p style=""font-size:60px;color: yellow"">yellow</p>","y","yellow","yellow"
"","null","html-keyboard-response","10","35094","0.0-10.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","","null","",""
"","null","html-keyboard-response","11","35595","0.0-11.0","1","1","2026-07-01 15:29:16","b48763a4be54199d7384b98656d552fc","70.236.211.146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36","Macintosh","Chrome","145.0.7632.6","OS X","10_15_7","null","null","<p style=""font-size:60px"">+</p>","null","",""
