sub_id,source,platform,complete,n_trials,n_congruent,n_incongruent,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,stroop_effect,lag1_autocorr,post_error_slowing_ms
2026-06-30_14-09-05-771061,bot,expfactory,True,120,60,60,0.9666666666666667,0.016666666666666666,618.7758620689655,0.9166666666666666,0.016666666666666666,662.2,43.42413793103458,0.23755259371038617,-54.4793577981651
2026-06-30_14-16-09-233757,bot,expfactory,True,120,60,60,0.9666666666666667,0.0,621.8793103448276,0.9333333333333333,0.0,676.1607142857143,54.281403940886776,-0.005027944490584931,-44.936936936936945
2026-06-30_14-23-01-975768,bot,expfactory,True,120,60,60,0.9666666666666667,0.016666666666666666,660.9310344827586,0.9833333333333333,0.0,710.6610169491526,49.72998246639395,0.1049332021264385,-98.94247787610618
2026-06-30_14-46-11-062389,bot,expfactory,True,120,60,60,1.0,0.0,610.4333333333333,0.9666666666666667,0.0,647.7241379310345,37.29080459770125,0.19445280051619007,71.74782608695648
2026-06-30_14-53-03-263662,bot,expfactory,True,120,60,60,1.0,0.0,635.0,0.9666666666666667,0.0,690.0862068965517,55.086206896551744,0.14538192954178908,-46.273913043478274
2026-06-30_14-59-48-952674,bot,expfactory,True,120,60,60,0.9833333333333333,0.0,626.0677966101695,0.8833333333333333,0.016666666666666666,678.9811320754717,52.913335465302225,0.23258445294393026,16.853211009174288
2026-06-30_15-06-47-369269,bot,expfactory,True,120,60,60,0.95,0.016666666666666666,621.1754385964912,0.9166666666666666,0.03333333333333333,659.3090909090909,38.13365231259968,0.09836882280612373,-33.32897196261683
2026-06-30_17-22-18-028700,bot,expfactory,True,120,60,60,0.9833333333333333,0.016666666666666666,635.8305084745763,0.95,0.03333333333333333,684.7017543859649,48.871245911388655,0.17938581154371938,85.77272727272725
2026-06-30_17-28-49-647367,bot,expfactory,True,120,60,60,0.9833333333333333,0.0,644.1864406779661,0.95,0.0,699.438596491228,55.25215581326199,0.3741801850199599,-122.20575221238937
2026-06-30_17-35-25-705407,bot,expfactory,True,120,60,60,0.95,0.016666666666666666,632.0877192982456,0.95,0.016666666666666666,676.0350877192982,43.9473684210526,0.255345566436487,200.68119266055044
2026-06-30_17-41-28-762187,bot,expfactory,True,120,60,60,0.9833333333333333,0.016666666666666666,632.9322033898305,0.95,0.0,679.9473684210526,47.01516503122207,0.3582825140975402,167.5446428571429
2026-06-30_17-47-50-480859,bot,expfactory,True,120,60,60,1.0,0.0,645.7833333333333,0.9666666666666667,0.016666666666666666,699.7413793103449,53.95804597701158,0.0943481490952154,290.2631578947369
2026-06-30_18-05-36-315208,bot,expfactory,True,120,60,60,0.9833333333333333,0.0,642.1864406779661,0.9166666666666666,0.03333333333333333,701.8363636363637,59.64992295839761,0.2726431457771349,-137.21100917431193
2026-06-30_18-11-31-957095,bot,expfactory,True,120,60,60,0.95,0.016666666666666666,630.5263157894736,0.9333333333333333,0.016666666666666666,660.0714285714286,29.545112781954913,-0.06303757633286121,-53.30045871559628
2026-06-30_18-17-56-822298,bot,expfactory,True,120,60,60,0.9833333333333333,0.0,647.5762711864406,0.9,0.03333333333333333,706.6851851851852,59.10891399874458,0.15695357992748868,-65.38888888888891
